способный, умелый;able
размеры;sizes
кожа;skin
небо;sky
спать;sleep
спать;sleeping
спит;sleeps
медленно;slowly
маленький;small
меньше;smaller
улыбка;smile
дым;smoke
так;so
мыло;soap
футбол;soccer
общество;society
диван;sofa
почва;soil
солдаты;soldiers
решение;solution
некоторые, несколько;some
некто;someone
что-то;something
иногда;sometimes
сын;son
песня;song
скоро;soon
звук;sound
юг;south
пространство;space
испанский;spanish
говорить;speaking
специальный, особенный;special
речь;speech
скорость;speed
тратит, расходует, проводит время;spend
говорил;spoken
губка;sponge
ложка;spoon
спорт;sports
весна;spring
площадь, сквер, квадрат;square
персонал;staff
этап, стадия;stage
марки;stamps
звезда;star
начало;start
начинать;starting
начинает;starts
станция;station
оставаться;stay
шаг;step
до сих пор, еще;still
камень;stone
останавливаться, остановить, остановка;stop
остановился;stopped
рассказ;story
стратегия;strategy
улицы;streets
сила;strength
забастовка;strike
строка, веревка, нить;string
сильный;strong
студент;student
изучение, исследование;studies
исследование, изучение, учиться;study
изучать;studying
стиль;style
тема, предмет;subject
метро;subway
успех;success
такие, эти, подобные;such
страдать;suffer
чемодан;suitcase
сумма;sum
лето;summer
солнце;sun
воскресенье;sunday
поддерживать;support
поддерживает;supports
конечно, уверен;sure
поверхность;surface
сюрприз, удивление;surprise
сладкий;sweet
плавать;swim
плавать, плавание;swimming
плавает;swims
символ;symbol
система;system
столы;tables
взять, брать;take
взял, принял;taken
берет;takes
брать;taking
говорить;talk
разговаривать;talking
разговаривает;talks
высокий;tall
задача;task
налоги;taxes
учитель;teacher
обучение;teaching
команда;team
техника;technique
технология;technology
зубы;teeth
телефон;telephone
телевизор;television
рассказать;tell
рассказывает;tells
температуры;temperatures
десять;ten
теннис;tennis
тест, проверка, анализ;test
текст;text
чем;than
благодарить;thank
что, которые, это;that
театр;theater
тогда;then
теория;theory
там;there
эти;these
вещи;things
думать;think
думать;thinking
думает;thinks
третий;third
тринадцать;thirteen
тридцать;thirty
это, эта, эту;this
тех, те, эти;those
хотя;though
тысячи;thousands
угроза;threat
три;three
сквозь, через;through
четверг;thursday
время, раз, срок;time
усталый;tired
заголовок, название, звание;title
на, для, в, до;to
сегодня;today
вместе;together
сказал, рассказал;told
завтра;tomorrow
язык;tongue
этим вечером;tonight
слишком, тоже;too
зубная щетка;toothbrush
зубная паста;toothpaste
верх;top
полный, тотальный;total
прикосновение;touch
касаться;touching
турист;tourist
в направлении к;towards
башни;towers
город;town
торговля;trade
традиция;tradition
традиционный;traditional
трафик;traffic
поезд;train
тренировка;training
транспорт;transportation
путешествия;travel
путешествует;travels
лечение;treatment
деревья;trees
тренд, тенденция;trend
попробовал, попытался;tried
пытается;tries
поездка;trip
истинный;true
доверять;trust
правда, истина;truth
попробовать;try
пытаться;trying
вторник;tuesday
поворот, поворот, очередь;turn
повернулся, превратился, обернулся;turned
поворачивает, превращает;turns
телевизор;tv
двенадцать;twelve
двадцать;twenty
дважды;twice
два;two
типы;types
зонтик;umbrella
дядя;uncle
под;under
понимать;understand
союз;union
единица;unit
вселенная;universe
университет;university
до;until
вверх;up
использовать;use
использует;uses
обычно;usually
долина;valley
ценность;value
транспортное средство;vehicle
версия;version
очень;very
жертвы;victims
вид;view
деревня;village
насилие;violence
скрипка;violin
вирус;virus
видение;vision
посещение;visit
посещает;visits
голос;voice
вулкан;volcano
волейбол;volleyball
объем;volume
голосование;vote
ожидать, ждать;wait
официант;waiter
ждать;waiting
официантка;waitress
будить, просыпаться;wake
прогулка, ходить;walk
ходил, шел;walked
ходить;walking
ходит;walks
стена;wall
кошелек;wallet
хотеть;want
хотел, захотел;wanted
хочет;wants
война;war
часы;watch
смотрит, наблюдает;watches
смотреть;watching
путь, способ;way
слабый;weak
богатство;wealth
оружие;weapon
носить;wearing
погода;weather
среда;wednesday
неделя;week
вес;weight
хорошо;well
запад;west
колесо;wheel
когда;when
когда;whenever
пока, хотя, во время;while
полный, целый;whole
жена;wife
выигрывать;win
ветер;wind
окно;window
выигрывает;wins
зима;winter
желать;wish
желания, желает;wishes
с;with
без;without
выиграл;won
дерево;wood
деревянный;wooden
слова;words
работа, работать;work
работники;workers
работать;working
работает;works
мир;world
хуже;worse
худший;worst
стоимость;worth
бы;would
писать;write
писатель;writer
пишет;writes
писать;writing
написал;written
неправильный;wrong
двор;yard
год;year
пока еще;yet
молодой;young
молодой;younger
молодежь;youth
зона;zone
зоопарк;zoo
